,Name,Platform,Year of Release,Genre,Publisher,NA Sales,EU Sales,JP Sales,Other Sales,Global Sales,Critic Score,Critic Count,User Score,User Count,Developer,Rating
3448,Skylanders SWAP Force,WiiU,2013,Platform,Activision,0.38,0.15,0.0,0.05,0.58,89.0,7.0,6.0,96.0,Vicarious Visions,E10+
3453,Shin Megami Tensei IV,3DS,2013,Role-Playing,Atlus,0.28,0.0,0.27,0.03,0.58,83.0,48.0,8.3,251.0,Atlus,M
3468,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58,71.0,53.0,8.3,55.0,CyberConnect2,T
3473,Rayman Legends,PS3,2013,Platform,Ubisoft,0.14,0.34,0.0,0.1,0.58,91.0,23.0,8.7,310.0,Ubisoft Montpellier,E10+
3475,FIFA Soccer,PSV,2012,Sports,Electronic Arts,0.16,0.32,0.02,0.08,0.58,79.0,45.0,7.2,79.0,Electronic Arts,E
3484,Pro Evolution Soccer 2015,PS3,2014,Sports,Konami Digital Entertainment,0.1,0.2,0.22,0.06,0.58,0.0,0.0,7.8,34.0,Konami,E
3485,London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,0.07,0.44,0.0,0.07,0.58,0.0,0.0,0.0,0.0,,
3495,Payday 2,X360,2013,Shooter,505 Games,0.33,0.19,0.0,0.05,0.57,75.0,18.0,6.3,203.0,Overkill Software,M
3499,XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,0.24,0.23,0.0,0.1,0.57,89.0,20.0,8.2,296.0,Firaxis Games,M
3508,Titanfall 2,XOne,2016,Shooter,Electronic Arts,0.37,0.15,0.0,0.05,0.57,87.0,31.0,8.0,261.0,Respawn Entertainment,M
3522,WWE 2K15,XOne,2014,Sports,Take-Two Interactive,0.29,0.23,0.0,0.05,0.57,56.0,25.0,5.7,63.0,Yuke's,T
3527,Defiance,X360,2013,Shooter,Trion Worlds,0.38,0.14,0.0,0.05,0.57,60.0,27.0,7.2,249.0,Trion Worlds,M
3531,Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,0.26,0.21,0.0,0.1,0.57,67.0,16.0,6.4,107.0,id Software,M
3537,Just Dance 2016,WiiU,2015,Misc,Ubisoft,0.27,0.25,0.0,0.05,0.57,73.0,7.0,6.9,11.0,Ubisoft,E10+
3546,Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,0.32,0.0,0.21,0.03,0.57,78.0,33.0,8.1,122.0,Neverland,E10+
3550,Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,0.05,0.07,0.42,0.02,0.56,0.0,0.0,8.0,47.0,"Namco Bandai Games, Bandai Namco Games",T
3556,Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo,0.27,0.14,0.12,0.04,0.56,0.0,0.0,0.0,0.0,,
3557,Titanfall,PC,2014,Shooter,Electronic Arts,0.22,0.3,0.0,0.04,0.56,86.0,29.0,6.2,1727.0,Respawn Entertainment,M
3579,Minecraft: Story Mode,XOne,2015,Adventure,Mojang,0.3,0.21,0.0,0.05,0.56,0.0,0.0,0.0,0.0,,
3593,Yokai Sangokushi,3DS,2016,Action,Level 5,0.0,0.0,0.56,0.0,0.56,0.0,0.0,0.0,0.0,,
3605,Gravity Rush,PSV,2012,Action,Sony Computer Entertainment,0.21,0.17,0.09,0.08,0.56,83.0,73.0,8.5,625.0,SCE Japan Studio,T
3606,Quantum Break,XOne,2016,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56,77.0,106.0,6.8,1659.0,Remedy Entertainment,M
3609,Middle-Earth: Shadow of Mordor,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.26,0.01,0.09,0.56,0.0,0.0,3.4,100.0,Behaviour Interactive,M
3611,FIFA 15,Wii,2014,Sports,Electronic Arts,0.15,0.37,0.0,0.04,0.56,0.0,0.0,4.3,12.0,EA Sports,E
3630,Guitar Hero Live,XOne,2015,Misc,Activision,0.3,0.2,0.0,0.05,0.55,81.0,21.0,5.1,69.0,FreeStyleGames,T
3645,Resident Evil: Revelations 2,PS4,2015,Action,Capcom,0.13,0.24,0.1,0.07,0.55,75.0,30.0,7.7,284.0,Capcom,M
3647,LEGO Dimensions,PS3,2015,Action,Warner Bros. Interactive Entertainment,0.17,0.3,0.0,0.09,0.55,0.0,0.0,6.4,18.0,,
3650,The Amazing Spider-Man 2 (2014),PS4,2014,Action,Activision,0.2,0.25,0.02,0.09,0.55,0.0,0.0,0.0,0.0,,
3652,Assassin's Creed: Unity,PC,2014,Action,Ubisoft,0.18,0.33,0.0,0.04,0.55,70.0,10.0,3.0,1463.0,"Ubisoft, Ubisoft Montreal",M
3666,Star Wars Battlefront (2015),PC,2015,Shooter,Electronic Arts,0.13,0.38,0.0,0.04,0.55,0.0,0.0,0.0,0.0,,
3679,Sly Cooper: Thieves in Time,PS3,2013,Platform,Sony Computer Entertainment Europe,0.35,0.12,0.0,0.08,0.54,75.0,69.0,8.3,343.0,Sanzaru Games,E10+
3682,Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,0.19,0.23,0.04,0.08,0.54,77.0,27.0,8.0,350.0,Yager,M
3684,NHL 14,PS3,2013,Sports,Electronic Arts,0.28,0.17,0.0,0.09,0.54,80.0,22.0,6.0,79.0,Electronic Arts,E10+
3685,F1 2013,PS3,2013,Racing,Codemasters,0.01,0.42,0.03,0.09,0.54,77.0,22.0,6.3,40.0,Codemasters Birmingham,E
3696,Rayman Origins,PSV,2012,Platform,Ubisoft,0.12,0.33,0.0,0.09,0.54,88.0,54.0,8.4,298.0,UBlart Montpellier,E10+
3702,Tiger Woods PGA Tour 13,PS3,2012,Sports,Electronic Arts,0.24,0.21,0.0,0.08,0.54,75.0,14.0,5.7,9.0,Electronic Arts,E
3718,Final Fantasy Explorers,3DS,2014,Role-Playing,Square Enix,0.16,0.07,0.28,0.02,0.54,69.0,57.0,7.0,87.0,Racjin,E10+
3733,NHL 14,X360,2013,Sports,Electronic Arts,0.4,0.09,0.0,0.05,0.54,81.0,30.0,5.9,92.0,Electronic Arts,E10+
3748,LEGO Dimensions,WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.3,0.18,0.0,0.05,0.53,62.0,5.0,6.5,29.0,Traveller's Tales,E10+
3760,Dragon's Crown,PS3,2013,Role-Playing,Nippon Ichi Software,0.25,0.07,0.17,0.05,0.53,82.0,62.0,8.3,288.0,Vanillaware,T
3767,Just Dance 2015,XOne,2014,Misc,Ubisoft,0.35,0.13,0.0,0.05,0.53,70.0,17.0,7.5,20.0,Ubisoft,E10+
3769,The LEGO Movie Videogame,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.35,0.13,0.0,0.05,0.53,69.0,18.0,6.9,49.0,TT Games,E10+
3771,Overwatch,PC,2016,Shooter,Activision,0.25,0.24,0.0,0.04,0.53,91.0,62.0,6.8,4052.0,Blizzard Entertainment,T
3788,Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016,Action,Nintendo,0.05,0.21,0.25,0.02,0.53,0.0,0.0,0.0,0.0,,
3791,StarCraft II: Legacy of the Void,PC,2015,Strategy,Activision,0.19,0.29,0.0,0.04,0.53,88.0,62.0,8.3,833.0,Blizzard Entertainment,T
3794,LEGO Dimensions,X360,2015,Action,Warner Bros. Interactive Entertainment,0.26,0.23,0.0,0.04,0.53,0.0,0.0,6.1,18.0,,
3808,Dragon Age: Inquisition,X360,2014,Role-Playing,Electronic Arts,0.36,0.12,0.0,0.05,0.53,0.0,0.0,5.1,235.0,BioWare,M
3817,Tales of Symphonia,PS3,2013,Role-Playing,Namco Bandai Games,0.21,0.12,0.13,0.07,0.52,0.0,0.0,7.2,6.0,Namco Bandai Games,T
3840,LEGO Jurassic World,WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.27,0.19,0.02,0.04,0.52,71.0,5.0,8.1,14.0,TT Games,E10+
3845,Rory McIlroy PGA Tour,PS4,2015,Action,Electronic Arts,0.18,0.25,0.0,0.08,0.52,61.0,33.0,3.7,78.0,EA Tiburon,E
3848,Lords of the Fallen,PS4,2014,Role-Playing,Square Enix,0.18,0.24,0.02,0.08,0.52,68.0,45.0,6.6,425.0,"City Interactive, Deck 13",M
3858,Kirby and the Rainbow Curse,WiiU,2015,Platform,Nintendo,0.22,0.13,0.12,0.04,0.52,73.0,72.0,8.0,227.0,HAL Labs,E
3862, Frozen: Olaf's Quest,DS,2013,Platform,Disney Interactive Studios,0.21,0.26,0.0,0.04,0.52,0.0,0.0,0.0,0.0,,
3876,LEGO Marvel Super Heroes,PSV,2013,Action,Warner Bros. Interactive Entertainment,0.11,0.29,0.0,0.11,0.51,0.0,0.0,0.0,0.0,,
3879,Sonic & All-Stars Racing Transformed,WiiU,2012,Racing,Sega,0.19,0.26,0.02,0.04,0.51,0.0,0.0,0.0,0.0,,
3882,Epic Mickey 2: The Power of Two,X360,2012,Action,Disney Interactive Studios,0.32,0.15,0.0,0.04,0.51,59.0,35.0,5.5,22.0,Blitz Games Studios,E
3892,Soul Sacrifice,PSV,2013,Role-Playing,Sony Computer Entertainment,0.15,0.08,0.22,0.06,0.51,77.0,71.0,8.2,298.0,"SCE Japan Studio, comcept",M
3899,The Walking Dead: Survival Instinct,PS3,2013,Shooter,Activision,0.28,0.15,0.0,0.08,0.51,34.0,14.0,3.6,196.0,Terminal Reality,M
3909,Alien: Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0.0,0.04,0.51,78.0,24.0,7.8,314.0,Creative Assembly,M
3919,Dishonored,PC,2012,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51,0.0,0.0,0.0,0.0,,
3921,Naruto Shippuden: Ultimate Ninja Storm 3,X360,2013,Fighting,Namco Bandai Games,0.29,0.16,0.01,0.05,0.51,70.0,16.0,7.7,67.0,CyberConnect2,T
3925,WWE 2K16,PS3,2015,Sports,Take-Two Interactive,0.22,0.21,0.0,0.08,0.51,0.0,0.0,6.0,21.0,Yuke's,T
3934,Tiger Woods PGA Tour 13,X360,2012,Sports,Electronic Arts,0.29,0.18,0.0,0.04,0.51,77.0,47.0,5.6,39.0,Electronic Arts,E
3965,Unit 13,PSV,2012,Shooter,Sony Computer Entertainment,0.25,0.13,0.04,0.07,0.5,71.0,60.0,7.5,169.0,Zipper Interactive,T
3967,Theatrhythm: Final Fantasy,3DS,2012,Misc,Square Enix,0.22,0.07,0.18,0.02,0.5,78.0,60.0,7.8,113.0,Indies Zero,E10+
3980,Major League Baseball 2K12,X360,2012,Sports,Take-Two Interactive,0.47,0.0,0.0,0.03,0.5,68.0,19.0,6.4,22.0,Visual Concepts,E
3986,Madden NFL 13,Wii,2012,Sports,Electronic Arts,0.47,0.0,0.0,0.03,0.5,0.0,0.0,7.3,4.0,EA Tiburon,E
4016,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015,Action,Square Enix,0.0,0.0,0.49,0.0,0.49,0.0,0.0,0.0,0.0,,
4017,F1 2012,X360,2012,Racing,Codemasters,0.1,0.34,0.0,0.05,0.49,84.0,42.0,6.9,56.0,Codemasters,E
4025,Sonic Lost World,3DS,2013,Platform,Sega,0.24,0.14,0.07,0.03,0.49,59.0,34.0,6.5,144.0,Dimps Corporation,E10+
4033,Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.2,0.21,0.0,0.08,0.49,81.0,29.0,7.7,111.0,PopCap,E10+
4043,Epic Mickey: Power of Illusion,3DS,2012,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04,0.49,0.0,0.0,0.0,0.0,,
4049,Middle-Earth: Shadow of Mordor,X360,2014,Action,Warner Bros. Interactive Entertainment,0.28,0.16,0.0,0.04,0.49,0.0,0.0,4.6,77.0,Behaviour Interactive,M
4051,Pokemon Art Academy ,3DS,2014,Misc,Nintendo,0.18,0.12,0.16,0.03,0.49,76.0,22.0,7.7,19.0,Headstrong Games,E
4054,Sonic & All-Stars Racing Transformed,PS3,2012,Racing,Sega,0.08,0.3,0.01,0.09,0.49,0.0,0.0,0.0,0.0,,
4069,Bravely Second: End Layer,3DS,2015,Role-Playing,Nintendo,0.17,0.1,0.18,0.03,0.49,81.0,70.0,7.4,103.0,Silicon Studio,T
4072,Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015,Puzzle,Nintendo,0.06,0.07,0.34,0.01,0.48,0.0,0.0,0.0,0.0,,
4081,Mad Max (2015),XOne,2015,Action,Warner Bros. Interactive Entertainment,0.28,0.16,0.0,0.04,0.48,0.0,0.0,0.0,0.0,,
4086,Skylanders: SuperChargers,WiiU,2015,Action,Activision,0.25,0.19,0.0,0.04,0.48,87.0,13.0,5.6,65.0,Vicarious Visions,E10+
4095,Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,Electronic Arts,0.29,0.15,0.0,0.04,0.48,80.0,64.0,8.1,79.0,PopCap,E10+
4096,Mario Golf: World Tour,3DS,2014,Sports,Nintendo,0.15,0.13,0.17,0.03,0.48,78.0,73.0,8.2,76.0,Camelot Software Planning,E
4103,Dragon Ball: XenoVerse,PS3,2015,Fighting,Namco Bandai Games,0.16,0.13,0.14,0.06,0.48,0.0,0.0,7.1,62.0,Dimps Corporation,T
4105,Lollipop Chainsaw,X360,2012,Action,Warner Bros. Interactive Entertainment,0.31,0.12,0.02,0.04,0.48,70.0,64.0,7.0,260.0,Grasshopper Manufacture,M
4109,Metal Gear Rising: Revengeance,X360,2013,Action,Konami Digital Entertainment,0.3,0.14,0.0,0.04,0.48,82.0,46.0,7.8,358.0,PlatinumGames,M
4115,Major League Baseball 2K13,X360,2013,Sports,Take-Two Interactive,0.44,0.0,0.0,0.04,0.48,0.0,0.0,0.0,0.0,,
4117,NHL 16,XOne,2015,Sports,Electronic Arts,0.38,0.05,0.0,0.05,0.48,80.0,18.0,6.0,81.0,"EA Sports, EA Canada",E10+
4137,Doom 3 BFG Edition,X360,2012,Shooter,Bethesda Softworks,0.28,0.15,0.0,0.04,0.47,67.0,30.0,6.5,132.0,id Software,M
4141,Rock Band 4,XOne,2015,Misc,Harmonix Music Systems,0.38,0.04,0.0,0.05,0.47,79.0,27.0,6.4,54.0,Harmonix Music Systems,T
4145,Street Fighter X Tekken,X360,2012,Fighting,Capcom,0.31,0.1,0.03,0.04,0.47,83.0,45.0,4.4,177.0,Capcom,T
4148,World of Warcraft: Warlords of Draenor,PC,2014,Action,Activision Blizzard,0.08,0.36,0.0,0.03,0.47,87.0,49.0,5.9,1154.0,Blizzard Entertainment,T
4153,FIFA Soccer 13,WiiU,2012,Action,Electronic Arts,0.17,0.27,0.0,0.04,0.47,69.0,28.0,6.2,49.0,Electronic Arts,E
4171,Epic Mickey 2: The Power of Two,PS3,2012,Action,Disney Interactive Studios,0.21,0.18,0.0,0.08,0.47,59.0,36.0,4.3,24.0,Blitz Games Studios,E
4194,Inazuma Eleven Go 2: Chrono Stone,3DS,2012,Role-Playing,Level 5,0.0,0.01,0.46,0.0,0.47,0.0,0.0,0.0,0.0,,
4198,EA Sports UFC,XOne,2014,Sports,Electronic Arts,0.3,0.12,0.0,0.04,0.47,70.0,23.0,6.3,152.0,EA Sports,T
4206,Art Academy: Lessons for Everyone,3DS,2012,Action,Nintendo,0.2,0.04,0.21,0.02,0.46,81.0,14.0,7.6,22.0,"Nintendo, Headstrong Games",E
4209,One Piece: Pirate Warriors 3,PS4,2015,Action,Namco Bandai Games,0.09,0.22,0.1,0.06,0.46,74.0,34.0,7.4,118.0,Omega Force,T
4214,Football Manager 2015,PC,2014,Simulation,Sega,0.0,0.44,0.0,0.03,0.46,80.0,36.0,6.0,151.0,Sports Interactive,
4234,The Evil Within,X360,2014,Action,Bethesda Softworks,0.25,0.16,0.01,0.04,0.46,0.0,0.0,7.6,172.0,Tango Gameworks,M
4240,Thief (2014),XOne,2014,Action,Square Enix,0.26,0.15,0.0,0.04,0.46,0.0,0.0,0.0,0.0,,
4241,The Walking Dead: Season One,PS4,2014,Adventure,Telltale Games,0.12,0.25,0.02,0.07,0.46,0.0,0.0,0.0,0.0,,
4252,LEGO The Hobbit,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.27,0.0,0.07,0.46,0.0,0.0,7.0,10.0,TT Games,E10+
4253,Silent Hill: Downpour,PS3,2012,Action,Konami Digital Entertainment,0.21,0.15,0.04,0.06,0.46,64.0,41.0,6.9,262.0,Vatra,M
4258,Disney Infinity 3.0,WiiU,2015,Action,Disney Interactive Studios,0.21,0.21,0.0,0.04,0.46,0.0,0.0,0.0,0.0,,
4274,Just Dance 2014,XOne,2013,Misc,Ubisoft,0.3,0.11,0.0,0.04,0.45,71.0,6.0,7.0,58.0,Ubisoft,E10+
4279,FIFA 15,3DS,2014,Sports,Electronic Arts,0.09,0.34,0.0,0.03,0.45,0.0,0.0,2.4,35.0,EA Sports,E
4283,LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.21,0.0,0.04,0.45,70.0,4.0,8.7,11.0,TT Games,E10+
4287,NHL 15,X360,2014,Sports,Electronic Arts,0.35,0.05,0.0,0.05,0.45,0.0,0.0,2.8,47.0,EA Sports,E10+
4289,PlayStation All-Stars Battle Royale,PSV,2012,Action,Sony Computer Entertainment,0.21,0.14,0.01,0.09,0.45,75.0,15.0,7.5,221.0,Bluepoint Games,T
4306,Lego Batman 3: Beyond Gotham,3DS,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.2,0.0,0.04,0.45,0.0,0.0,6.4,7.0,TT Games,E10+
4320,God Eater 2,PSV,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.45,0.0,0.45,0.0,0.0,0.0,0.0,,
4331,Lego Batman 3: Beyond Gotham,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.21,0.0,0.04,0.45,0.0,0.0,7.0,20.0,TT Games,E10+
4358,Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.02,0.27,0.11,0.05,0.45,85.0,61.0,7.6,478.0,Konami,E
4362,Disney Infinity 3.0,PS3,2015,Action,Disney Interactive Studios,0.16,0.21,0.0,0.07,0.45,0.0,0.0,0.0,0.0,,
4364,Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,0.13,0.29,0.0,0.03,0.45,81.0,23.0,8.2,1647.0,MachineGames,M
4365,Deadpool,PS3,2013,Action,Activision,0.23,0.14,0.0,0.08,0.45,61.0,27.0,7.2,221.0,High Moon Studios,M
4368,Watch Dogs,PC,2014,Action,Ubisoft,0.15,0.26,0.0,0.03,0.45,77.0,18.0,4.7,3288.0,Ubisoft Montreal,M
4387,Mario Tennis Ultra Smash,WiiU,2015,Sports,Nintendo,0.13,0.15,0.14,0.02,0.44,58.0,58.0,5.3,133.0,"Nintendo, Camelot Software Planning",E
4390,Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012,Fighting,Namco Bandai Games,0.26,0.14,0.01,0.04,0.44,74.0,35.0,7.2,47.0,"CyberConnect2, Racjin",T
4391,Wolfenstein: The New Order,PS3,2014,Shooter,Bethesda Softworks,0.14,0.21,0.02,0.07,0.44,0.0,0.0,7.1,115.0,MachineGames,M
4392,Skylanders: Trap Team,PS4,2014,Action,Activision,0.19,0.18,0.0,0.07,0.44,78.0,46.0,5.6,32.0,Toys for Bob,E10+
4406,Disney Infinity 2.0: Marvel Super Heroes,XOne,2014,Action,Disney Interactive Studios,0.25,0.15,0.0,0.04,0.44,0.0,0.0,0.0,0.0,,
4415,Fable,X360,2014,Role-Playing,Microsoft Game Studios,0.25,0.15,0.01,0.04,0.44,0.0,0.0,0.0,0.0,,
4426,Transformers: Fall of Cybertron,X360,2012,Action,Activision,0.28,0.12,0.0,0.04,0.44,79.0,52.0,8.3,160.0,High Moon Studios,T
4435,DmC: Devil May Cry,X360,2013,Action,Capcom,0.26,0.12,0.01,0.04,0.44,86.0,65.0,5.1,1438.0,Ninja Theory,M
4438,FIFA Soccer 13,PSV,2012,Action,Electronic Arts,0.0,0.28,0.05,0.11,0.44,57.0,9.0,4.1,89.0,Electronic Arts,E
4471,Ninja Gaiden 3,PS3,2012,Action,Tecmo Koei,0.19,0.09,0.11,0.05,0.43,58.0,43.0,5.0,152.0,Team Ninja,M
4481,Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive,0.26,0.13,0.0,0.04,0.43,80.0,11.0,7.8,119.0,Gearbox Software,M
4482,Sleeping Dogs,PS4,2014,Action,Square Enix,0.16,0.2,0.0,0.07,0.43,0.0,0.0,0.0,0.0,,
4488,Hyrule Warriors,3DS,2016,Action,Nintendo,0.17,0.13,0.11,0.03,0.43,0.0,0.0,0.0,0.0,,
4490,Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,Fighting,Namco Bandai Games,0.15,0.14,0.09,0.06,0.43,73.0,26.0,7.5,100.0,CyberConnect2,T
4493,Deadpool,X360,2013,Action,Activision,0.26,0.13,0.0,0.04,0.43,62.0,49.0,7.4,368.0,High Moon Studios,M
4494,Lego Batman 3: Beyond Gotham,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.23,0.17,0.0,0.04,0.43,74.0,25.0,7.1,36.0,TT Games,E10+
4495,MLB 14: The Show,PS3,2014,Sports,Sony Computer Entertainment America,0.35,0.0,0.0,0.08,0.43,81.0,26.0,6.8,79.0,SCEA San Diego Studios,E
4496,Devil May Cry HD Collection,X360,2012,Action,Capcom,0.28,0.11,0.01,0.03,0.43,77.0,32.0,8.4,93.0,"Capcom, Pipeworks Software, Inc.",M
4505,Payday 2,PS3,2013,Shooter,505 Games,0.22,0.14,0.0,0.08,0.43,74.0,12.0,6.2,181.0,Overkill Software,M
4506,WWE 2K16,X360,2015,Sports,Take-Two Interactive,0.27,0.12,0.0,0.04,0.43,0.0,0.0,5.4,25.0,Yuke's,T
4509,Mass Effect Trilogy,PS3,2012,Action,Electronic Arts,0.37,0.0,0.0,0.06,0.43,0.0,0.0,8.7,63.0,BioWare,M
4519,Hometown Story,3DS,2013,Role-Playing,Rising Star Games,0.23,0.12,0.04,0.04,0.43,47.0,14.0,6.0,24.0,TOYBOX,E10+
4520,Just Dance 4,PS3,2012,Misc,Ubisoft,0.26,0.11,0.0,0.06,0.43,77.0,5.0,7.1,29.0,Ubisoft,E10+
4526,Max Payne 3,PC,2012,Shooter,Take-Two Interactive,0.16,0.22,0.0,0.05,0.43,87.0,30.0,7.6,2202.0,Rockstar Studios,M
4531,Wolfenstein: The Old Blood,PS4,2015,Action,Bethesda Softworks,0.1,0.25,0.02,0.06,0.43,76.0,54.0,8.0,267.0,MachineGames,
4534,Rayman Legends,X360,2013,Platform,Ubisoft,0.19,0.2,0.0,0.04,0.43,90.0,35.0,8.2,217.0,Ubisoft Montpellier,E10+
4550,2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.15,0.25,0.0,0.03,0.42,74.0,29.0,4.4,93.0,EA Canada,E
4573,Skylanders: SuperChargers,X360,2015,Action,Activision,0.25,0.13,0.0,0.04,0.42,0.0,0.0,5.4,5.0,Vicarious Visions,E10+
4576,Batman: Arkham Origins Blackgate,PSV,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.17,0.0,0.1,0.42,61.0,38.0,6.8,106.0,Armature Studio,T
4577,Zone of the Enders HD Collection,PS3,2012,Simulation,Konami Digital Entertainment,0.21,0.07,0.09,0.05,0.42,73.0,27.0,8.0,42.0,High Voltage Software,M
4585,Trials Fusion,PS4,2014,Racing,Ubisoft,0.13,0.22,0.01,0.07,0.42,79.0,51.0,7.2,244.0,RedLynx,E10+
4618,Story of Seasons,3DS,2014,Simulation,Nintendo,0.0,0.14,0.27,0.01,0.42,76.0,39.0,8.2,54.0,Marvelous AQL,E10+
4622,Metro: Last Light,PS3,2013,Action,Deep Silver,0.14,0.18,0.03,0.07,0.42,80.0,23.0,8.2,508.0,4A Games,
4628,NBA 2K13,Wii,2012,Sports,Take-Two Interactive,0.36,0.03,0.0,0.03,0.42,0.0,0.0,7.5,10.0,Virtuos,E
4634,Spec Ops: The Line,X360,2012,Shooter,Take-Two Interactive,0.21,0.17,0.0,0.04,0.42,76.0,59.0,8.2,319.0,Yager,M
4636,Paper Mario: Color Splash,WiiU,2016,Role-Playing,Nintendo,0.2,0.14,0.05,0.03,0.42,75.0,72.0,6.8,208.0,"Nintendo, Intelligent Systems",E
4649,Attack on Titan: Humanity in Chains,3DS,2013,Action,Screenlife,0.0,0.0,0.42,0.0,0.42,46.0,22.0,4.5,34.0,Spike Chunsoft,M
4653,Animal Crossing: Amiibo Festival,WiiU,2015,Misc,Nintendo,0.19,0.11,0.09,0.03,0.41,46.0,20.0,4.4,173.0,"Nintendo, Nd Cube",E
4656,Just Dance 2014,PS4,2013,Misc,Ubisoft,0.19,0.16,0.0,0.07,0.41,75.0,4.0,5.5,51.0,Ubisoft,E10+
4668,EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.24,0.14,0.0,0.04,0.41,76.0,42.0,6.0,77.0,EA Sports,T
4676,Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.05,0.31,0.0,0.06,0.41,69.0,17.0,8.7,12.0,Maximum Games,E
4681,Battlefield: Hardline,PS3,2015,Shooter,Electronic Arts,0.13,0.15,0.07,0.06,0.41,0.0,0.0,5.3,81.0,Visceral Games,M
4685,Terraria,PS3,2013,Action,505 Games,0.07,0.2,0.09,0.05,0.41,81.0,12.0,7.9,70.0,Engine Software,T
4686,LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.22,0.15,0.0,0.04,0.41,80.0,12.0,6.9,27.0,Traveller's Tales,E10+
4691,NHL 15,XOne,2014,Sports,Electronic Arts,0.31,0.06,0.0,0.04,0.41,59.0,22.0,3.2,180.0,EA Sports,E10+
4693,Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.22,0.15,0.0,0.04,0.41,79.0,33.0,5.8,1188.0,Massive Entertainment,M
4699,FIFA 14,PSV,2013,Sports,Electronic Arts,0.08,0.23,0.01,0.09,0.41,0.0,0.0,1.8,69.0,EA Canada,E
4703,F1 2014,PS3,2014,Racing,Codemasters,0.07,0.26,0.02,0.06,0.41,62.0,19.0,4.1,28.0,Codemasters Birmingham,E
4706,Call of Duty: Black Ops II,WiiU,2012,Shooter,Activision,0.2,0.18,0.0,0.03,0.41,81.0,31.0,6.9,228.0,Treyarch,M
4722,God Eater 2: Rage Burst,PSV,2015,Role-Playing,Namco Bandai Games,0.0,0.03,0.37,0.01,0.41,0.0,0.0,8.1,16.0,Shift,T
4736,Call of Duty: Advanced Warfare,PC,2014,Shooter,Activision,0.15,0.23,0.0,0.03,0.41,78.0,18.0,4.5,1136.0,Sledgehammer Games,M
4745,Resistance: Burning Skies,PSV,2012,Shooter,Sony Computer Entertainment,0.18,0.15,0.02,0.06,0.41,60.0,63.0,6.8,245.0,Nihilistic,M
4747,Rocksmith 2014,XOne,2014,Misc,Ubisoft,0.29,0.08,0.0,0.04,0.41,0.0,0.0,0.0,0.0,,
4753,Dragon Quest X,WiiU,2013,Role-Playing,Square Enix,0.0,0.0,0.41,0.0,0.41,0.0,0.0,0.0,0.0,Square Enix,
4768,Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0.04,0.11,0.22,0.03,0.4,0.0,0.0,0.0,0.0,,
4770,Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games,0.17,0.15,0.02,0.06,0.4,72.0,59.0,6.8,315.0,Bandai Namco Games,T
4771,Metal Gear Solid: The Legacy Collection,PS3,2013,Adventure,Konami Digital Entertainment,0.31,0.01,0.03,0.06,0.4,93.0,4.0,9.0,255.0,Konami,M
